geneID	transcriptID	chrom	strand	codon5	codon3	length	read.num	f1	f2	f3	entropy	MAXentropy	pme
HIST2H2BA	NR_027337:186:395	chr1	+	120906219	120914723	210	12	0.917	0.000	0.083	0.287	2.369	0.121
SRGAP2B	NR_034178:494:1009	chr1	+	143916241	144094454	516	12	0.833	0.083	0.083	1.286	2.369	0.543
XLOC_l2_000416	TCONS_l2_00002186:55:288	chr1	+	148932839	148933443	234	13	0.615	0.385	0.000	1.525	2.458	0.620
XLOC_l2_000416	TCONS_l2_00000581:117:542	chr1	+	148932839	148951276	426	14	0.714	0.286	0.000	1.433	2.441	0.587
LOC645166	NR_027355:154:366	chr1	+	148932839	148951298	213	13	0.615	0.308	0.077	1.525	2.352	0.648
LOC645166	NR_027354:227:445	chr1	+	148932839	148952396	219	12	0.667	0.333	0.000	1.358	2.485	0.546
ENSG00000232527.3	ENST00000294715.2:113:211	chr1	+	148932843	148933312	99	11	0.364	0.000	0.636	1.673	2.272	0.736
LOC645166	NR_027356:158:325	chr1	+	148932843	148951335	168	12	0.333	0.083	0.583	1.517	2.369	0.640
ENSG00000233421.3	ENST00000415386.2:64:579	chr1	-	16861564	16862080	516	324	0.478	0.380	0.142	0.226	5.126	0.044
ENSG00000234741.3	ENST00000425771.1:68:151	chr1	-	173835318	173835916	84	29	0.759	0.138	0.103	2.692	3.272	0.823
ENSG00000234741.3	ENST00000456812.2:2:154	chr1	-	173835318	173836179	153	63	0.651	0.270	0.079	3.181	3.857	0.825
ENSG00000234741.3	ENST00000430245.1:91:312	chr1	-	173835318	173837929	222	63	0.651	0.270	0.079	2.750	3.549	0.775
ENSG00000234741.3	ENST00000458220.1:30:191	chr1	-	173835630	173836179	162	58	0.621	0.293	0.086	3.072	3.941	0.780
XLOC_l2_001330	TCONS_l2_00001799:62:277	chr1	-	224051416	224051739	216	33	0.727	0.182	0.091	0.000	3.076	0.000
ENSG00000197989.9	ENST00000474814.1:1298:1552	chr1	-	28906252	28907085	255	149	0.047	0.664	0.289	0.080	4.399	0.018
XLOC_l2_002252	TCONS_l2_00004424:43:696	chr11	+	17249870	17250698	654	24	0.833	0.083	0.083	0.679	3.005	0.226
XLOC_l2_002352	TCONS_l2_00004575:236:355	chr11	+	65266767	65266887	120	14	0.714	0.143	0.143	1.810	2.540	0.712
XLOC_l2_002352	TCONS_l2_00004576:1351:1539	chr11	+	65267882	65268071	189	32	0.438	0.344	0.219	1.859	3.422	0.543
XLOC_l2_002352	TCONS_l2_00004578:78:344	chr11	+	65267882	65268238	267	28	0.321	0.464	0.214	1.805	3.035	0.595
XLOC_l2_002352	TCONS_l2_00004577:2088:2276	chr11	+	65269109	65269298	189	12	0.250	0.000	0.750	0.679	2.254	0.301
ENSG00000255717.2	ENST00000538266.1:44:241	chr11	-	62620578	62622688	198	11	0.182	0.636	0.182	1.468	2.272	0.646
ENSG00000255717.2	ENST00000544550.1:118:276	chr11	-	62621492	62622635	159	12	0.083	0.333	0.583	1.561	2.254	0.692
ENSG00000255717.2	ENST00000537068.1:60:203	chr11	-	62621509	62622688	144	12	0.250	0.667	0.083	1.748	2.369	0.738
ENSG00000255717.2	ENST00000541416.1:320:517	chr11	-	62622365	62622964	198	17	0.235	0.647	0.118	2.150	2.752	0.781
ENSG00000255717.2	ENST00000544983.1:266:490	chr11	-	62622532	62622964	225	13	0.154	0.769	0.077	1.778	2.458	0.723
XLOC_l2_002955	TCONS_l2_00005603:40:219	chr12	+	44054724	44054904	180	10	0.800	0.200	0.000	0.500	2.164	0.231
LOC100130776	NR_027032:167:973	chr12	+	58120775	58121582	807	12	0.250	0.083	0.667	0.918	2.369	0.388
FLJ31306	NR_029434:198:449	chr14	-	58740700	58758410	252	10	0.600	0.300	0.100	1.418	2.164	0.656
XLOC_011226	TCONS_00023381:7:144	chr15	+	41576208	41577460	138	11	0.545	0.000	0.455	0.689	2.146	0.321
ENSG00000247556.2	ENST00000558945.1:21:476	chr15	+	41576208	41578247	456	11	0.545	0.000	0.455	0.000	2.272	0.000
ENSG00000272888.1	ENST00000557682.2:5:496	chr15	+	93425941	93428761	492	10	0.300	0.100	0.600	1.471	2.164	0.680
MT1L	NR_001447:13:363	chr16	+	56651385	56652668	351	16	0.250	0.250	0.500	1.630	2.599	0.627
